0.000000,0.520008,209,0.552320,19.724814
0.000000,0.530525,189,0.881393,22.446030
0.000000,0.504401,227,0.626346,22.541763
0.000000,0.571507,204,0.637723,21.177848
0.000000,0.512661,272,0.859887,30.752393
0.000000,0.534759,216,0.682575,24.229411
0.000000,0.492289,215,0.576854,18.812731
0.000000,0.523824,187,0.687767,19.811724
0.000000,0.532719,173,0.581440,18.170254
0.000000,0.535626,263,0.518365,22.611946
0.125000,0.511377,237,0.608059,22.689116
0.125000,0.504653,225,0.999732,27.353359
0.125000,0.518117,205,0.768738,25.379030
0.125000,0.476571,189,0.643951,18.498076
0.125000,0.528248,245,0.886920,29.994868
0.125000,0.537473,228,0.637104,22.112728
0.125000,0.498298,151,0.632698,15.183998
0.125000,0.502039,209,0.727802,22.033696
0.125000,0.527878,246,0.574105,23.038088
0.125000,0.510342,224,0.652709,23.296288
0.250000,0.527799,266,0.635593,27.959557
0.250000,0.534106,220,0.859181,25.261262
0.250000,0.479307,229,0.720339,24.199693
0.250000,0.517225,232,0.694120,23.694095
0.250000,0.507011,235,0.836558,26.171149
0.250000,0.522245,217,0.729559,22.379467
0.250000,0.487640,249,0.524226,20.837141
0.250000,0.501960,224,0.793291,24.166147
0.250000,0.514411,219,0.537586,20.563023
0.250000,0.478547,222,0.557399,20.629611
0.375000,0.524163,215,0.669346,21.044384
0.375000,0.495332,257,0.790928,27.720924
0.375000,0.532386,193,0.732391,20.360432
0.375000,0.515160,232,0.790662,24.639639
0.375000,0.486268,235,1.032318,29.195731
0.375000,0.505565,258,0.705376,31.156810
0.375000,0.484534,166,0.575728,17.293205
0.375000,0.500113,236,0.601637,25.268293
0.375000,0.532419,230,0.617187,23.853001
0.375000,0.551012,164,0.541981,15.646499
0.500000,0.539602,303,0.720344,34.776139
0.500000,0.512828,220,0.622129,20.989412
0.500000,0.557799,241,0.611771,23.960449
0.500000,0.507738,268,0.662938,28.365924
0.500000,0.546425,271,0.889840,31.653719
0.500000,0.529098,233,0.492741,20.319135
0.500000,0.521628,206,0.699040,21.843341
0.500000,0.516036,201,0.668486,19.784681
0.500000,0.503734,229,0.635602,20.463938
0.500000,0.532518,217,0.716757,23.528487
0.675000,0.508399,205,0.577067,18.859832
0.675000,0.549328,237,0.626606,22.795464
